,,Ground 1,Ground 1,Ground 1,Ground 1,Ground 1,Ground 1,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2
,,6:30:00 AM Slot,6:30:00 AM Slot,10:00:00 AM Slot,10:00:00 AM Slot,1:30:00 PM Slot,1:30:00 PM Slot,6:30:00 AM Slot,6:30:00 AM Slot,10:00:00 AM Slot,10:00:00 AM Slot,1:30:00 PM Slot,1:30:00 PM Slot,4:30:00 PM Slot,4:30:00 PM Slot,8:00:00 PM Slot,8:00:00 PM Slot
16-Mar-2025,Sunday,Challengers,Indian Smashers Club,,,,,Giju Eleven,PV Rockers,,,,,Strikersz,Game Changers,MOT,Titans United
17-Mar-2025,Monday,,,,,,,,,,,,,,,,
18-Mar-2025,Tuesday,,,,,,,,,,,,,,,,
19-Mar-2025,Wednesday,Bleed Blue Cricket,Noida Falcons,,,,,,,,,,,,,Bhagwa XI,Bleed Blue Cricket
20-Mar-2025,Thursday,,,,,,,,,,,,,,,Classic Cricket Club,Bleed Blue Cricket
21-Mar-2025,Friday,,,,,,,,,,,,,Samsung A ,Samsung B,Booked both teams,
22-Mar-2025,Saturday,,,Mighty Demons,Gedu Titans,Mediatek ,Siemens,,,Full Track AI A,Full Track AI B,Milak Duhai Om Fir,Kasganj Police,Indian Warriors,Delhi Renegades,DMS SPORTS,One XI
23-Mar-2025,Sunday,Spartans (TTCC),Zeal Cricket Club,,,,,Delhi Dominatrix,Noida Cridators,,,,,DGH XI,Challengers,Bhagwa XI,Bleed Blue Cricket
24-Mar-2025,Monday,,,,,,,,,,,,,,,,
25-Mar-2025,Tuesday,,,,,,,,,,,,,,,,
26-Mar-2025,Wednesday,,,,,,,,,,,,,,,,
27-Mar-2025,Thursday,,,,,,,,,,,,,,,Classic Cricket Club,BCC
28-Mar-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,Booking for 02 teams w/o umpire,
29-Mar-2025,Saturday,,,Semicon A,Semicon B,,,Full Track A,Full Track B,,,,,Indian Warriors,RBCC,One XI,Titans United
30-Mar-2025,Sunday,New Bharat Club,NDTV,NNR,DGH,,,Noida Falcons,Dark Horses,Successive Strikers,Skyhawks,,,Delhi Dominators,Game Changers,Giju Eleven,Indian Smashers Club
31-Mar-2025,Monday,,,,,,,,,,,,,,,,
1-Apr-2025,Tuesday,,,,,,,,,,,,,,,,
2-Apr-2025,Wednesday,,,,,,,,,,,,,,,Classic Cricket Club,Zikka XI
3-Apr-2025,Thursday,,,,,,,,,,,,,,,Elite Warriors,Zikka XI
4-Apr-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,Woodsmen XI,Bhagwa XI
5-Apr-2025,Saturday,Strikersz,Noida Falcons,,,Semicon A,Semicon B,Kings CC,Delhi Dominatrix,,,,,Zikka XI,Nexus Knights,Metrol A,Metrol B
6-Apr-2025,Sunday,British Airways,NDTV,,,NNR,Bleed Blue Cricket,MOT,Mighty Demons,Tennis Real OG,Tennis ACh 11,,,One XI,The Eleven Fighting,Paras Strikers,Bhagwa XI
7-Apr-2025,Monday,,,,,,,,,,,,,,,Fairfox Tigers,Fairfox Lions
8-Apr-2025,Tuesday,,,,,,,,,,,,,Gutki,Pingu,Metrol Team OG,Metrol Defaulters
9-Apr-2025,Wednesday,,,,,,,,,,,,,,,Sunriders Club,Sunriders Club
10-Apr-2025,Thursday,,,,,,,,,,,,,,,Classic Cricket Club,KNIT
11-Apr-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,Cube Highways A,Cube Highways B
12-Apr-2025,Saturday,Garun XI,Skyhawks,,,,,Nexus Knight,Challengers,,,,,One XI,Assassins,Rising Stars,Red wings
13-Apr-2025,Sunday,Khan Smart Club A,Khan Smart Club B,,,Delhi Dominators,Oasis Cricket Club,Dark Horses,Strikersz,,,,,The Eleven Fighting,Giju Eleven,,
14-Apr-2025,Monday,,,,,,,,,,,,,,,,
15-Apr-2025,Tuesday,,,,,,,,,,,,,,,Metrol Team OG,Metrol Defaulters
16-Apr-2025,Wednesday,,,,,,,,,,,,,,,Noida Falcons,Classic Cricket Club
17-Apr-2025,Thursday,,,,,,,,,,,,,Samsung A,Samsung B,,
18-Apr-2025,Friday,,,,,,,,,,,,,,,Cube Highways A_P,Cube Highways B_P
19-Apr-2025,Saturday,,,,,,,,,,,,,Kings CC,Dhurandhar XI,One XI,Mighty Demons
20-Apr-2025,Sunday,Delhi Dominators,Dark Horses,,,Zikka XI,Vikings & Hurricanes CC,Abhishek Tennis,Abhishek Tennis,,,,,NNR,Fincrif Blasters,Bleed Blue Cricket,Smart Cricket Club
21-Apr-2025,Monday,,,,,,,,,,,,,,,Team Elite A_P,Team Elite B_P
22-Apr-2025,Tuesday,,,,,,,,,,,,,,,,
23-Apr-2025,Wednesday,,,,,,,,,,,,,,,,
24-Apr-2025,Thursday,,,,,,,,,,,,,,,,
25-Apr-2025,Friday,,,,,,,,,,,,,,,TriDev Titans_P,Spartan11_P
26-Apr-2025,Saturday,Indian Warriors,Game swingers,Challengers,East Delhi Dynamoes,,,Royal Park Strikers,Zikka XI,,,,,Cricket Dabblers_P,LC XI_P,Yuva Yoddha_P,11 All Rounders
27-Apr-2025,Sunday,Titans United,Indian Smashers Club,,,Kings CC,Sujjon 11,One XI,MOT,,,,,Noida Falcons,Delhi Dominators,The Eleven Fighting,
28-Apr-2025,Monday,,,,,,,,,,,,,,,,
