,,Ground 1,Ground 1,Ground 1,Ground 1,Ground 1,Ground 1,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,Ground 2,,,
,,6:30:00 AM Slot,6:30:00 AM Slot,10:00:00 AM Slot,10:00:00 AM Slot,1:30:00 PM Slot,1:30:00 PM Slot,6:30:00 AM Slot,6:30:00 AM Slot,10:00:00 AM Slot,10:00:00 AM Slot,1:30:00 PM Slot,1:30:00 PM Slot,4:30:00 PM Slot,4:30:00 PM Slot,8:00:00 PM Slot,8:00:00 PM Slot,,
1-Jan-2025,Wednesday,,,,,,,The Fighting Eleven,Indian Warriors,,,,,,,,,,
2-Jan-2025,Thursday,,,,,,,,,,,,,,,,,,
3-Jan-2025,Friday,,,,,,,,,,,,,,,,,,
4-Jan-2025,Saturday,Mohit Team 1,Bleed Blue,Semicon A,Semicon B,Semicon A,Semicon B,Skyhawks,RBCC,,,Dhurandar XI,Garun XI,,,,,,
5-Jan-2025,Sunday,Zeal Cricket Club,The Vintage Titans,Mohit Team A,Mohit Team B,,,Delhi Renegades (Bankers XI),Mosh (T),Oasis Cricket Club,Spartans (TTCC),The Eleven Fighting ,Kings CC,,,,,,
6-Jan-2025,Monday,,,,,,,,,,,,,,,,,,
7-Jan-2025,Tuesday,,,,,,,,,,,,,,,,,,
8-Jan-2025,Wednesday,,,,,,,,,,,,,,,,,,
9-Jan-2025,Thursday,,,,,,,,,,,,,,,,,,
10-Jan-2025,Friday,,,,,,,,,,,,,,,,,,
11-Jan-2025,Saturday,,,Semicon A,Semicon B,Semicon A,Semicon B,Successive Strikers,Garun XI,Mosh Tech,Skyhawks,Samsung A,Samsung B,,,,,,
12-Jan-2025,Sunday,Bleed Blue,Challengers,,,Strikersz,Northeast Warriors,Zeal Cricket Club,Oasis Cricket Club,Delhi Dominators,Noida Cridators,RBCC,Delhi Renegades (Bankers XI),,,,,,
13-Jan-2025,Monday,,,,,,,,,,,,,,,,,,
14-Jan-2025,Tuesday,,,,,,,,,,,,,,,,,,
15-Jan-2025,Wednesday,,,,,,,,,,,,,,,,,,
16-Jan-2025,Thursday,,,,,,,,,,,,,,,,,,
17-Jan-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,,,,
18-Jan-2025,Saturday,,,Semicon,Semicon,Semicon,Semicon,Successive,Indian Warriors,Challengers,Cadence,,,,,,,,
19-Jan-2025,Sunday,Friendly leather (9am),,,,Okhla XI - 2 teams,,Delhi Dominatrix ,The Cricketing Titans,Spartans (TTCC),Hit Machine Cricket Club,Mosh army,Phoenix,,,,,,
20-Jan-2025,Monday,,,,,,,,,Metrol A,Metrol B,,,,,,,,
21-Jan-2025,Tuesday,,,,,,,,,,,,,,,,,,
22-Jan-2025,Wednesday,,,,,,,,,,,,,,,,,,
23-Jan-2025,Thursday,,,,,,,,,,,,,,,,,,
24-Jan-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,,,,
25-Jan-2025,Saturday,Dhurandhar XI,Delhi Renegades,Mitul Govil A,Mitul Govil B,Mitul Govil C,Mitul Govil D,,,Tierra Strikers,Challengers,Mosh Army,Garun 11,,,,,,
26-Jan-2025,Sunday,The Eleven Fighting,Delhi Dominators,Quetta Gladiators,Skyhawks,,,Os11,Challengers,Hit Machine Cricket Club,Oasis Cricket Club (OCC),,,,,,,,
27-Jan-2025,Monday,,,,,,,,,,,,,,,,,,
28-Jan-2025,Tuesday,,,,,,,,,,,,,,,,,,
29-Jan-2025,Wednesday,,,,,,,,,,,,,,,,,,
30-Jan-2025,Thursday,,,,,,,,,,,,,,,,,,
31-Jan-2025,Friday,,,,,,,,,,,,,Samsung A,Samsung B,,,,
1-Feb-2025,Saturday,Dhurandhar XI,Skyhawks,Semicon A,Semicon B,,,Strikers,Titans United,Challengers,Trial XI,,,Yuva yoddha,Royal Rangers,,,,
2-Feb-2025,Sunday,Eleven Fighting,Prag Advisors,30 over match,30 Over Match,30 overs Match ,30 Overs Match,Hit Machine Cricket Club,Zeal Cricket Club,PV Rockers,Vintage Titans,The Cricketing Titans,Noida Cridators,,,,,,
3-Feb-2025,Monday,,,,,,,,,,,,,,,,,,
4-Feb-2025,Tuesday,,,,,,,,,,,,,,,,,,
5-Feb-2025,Wednesday,,,,,,,,,,,Smart cc,Smart cc,,,,,,
6-Feb-2025,Thursday,,,,,,,,,,,,,,,,,,
7-Feb-2025,Friday,SSSI A,SSSI B,,,,,,,,,Krassa A,Krassa B,,,,,,
8-Feb-2025,Saturday,Mighty Demons,Titans United,Challengers,Gedu Titans,RBCC,Garun XI,British Airways,Phoenix,Krassa A,Krassa B,Delhi Renegades,Skyhawks,Stikers XI,Assasins,Yuva Yoddha,Royal Rangers,,
9-Feb-2025,Sunday,Successive,Mosh Army,Smart cc,Samsung,Spartans (TTCC),PV Rockers,Smart cc,Uneven XI,Krassa A,Krassa B,,,Giju XI,Titans United,,,,
10-Feb-2025,Monday,,,,,,,,,,,Krassa A,Krassa B,,,,,,
11-Feb-2025,Tuesday,,,,,,,,,,,,,,,,,,
12-Feb-2025,Wednesday,,,,,,,,,,,,,,,,,,
13-Feb-2025,Thursday,,,,,,,,,,,,,,,,,,
14-Feb-2025,Friday,,,,,SSSI A,SSSI B,,,,,,,,,,,,
15-Feb-2025,Saturday,,,,,,,,,,,,,,,Yuva Yoddha,Gedu Titans,,
16-Feb-2025,Sunday,British Airways A,British Airways B,Kings CC,Noida Cridators,Garun XI,Delhi Renegades (Bankers XI),Titans United,The Eleven Fighting,PV rockers,DGH,RBCC,Mosh Army,MOT,Indian Smashers Club,,,,
17-Feb-2025,Monday,,,,,,,,,,,,,,,,,,
18-Feb-2025,Tuesday,,,,,,,,,,,,,,,,,,
19-Feb-2025,Wednesday,,,,,,,,,,,,,,,,,,
20-Feb-2025,Thursday,,,,,,,,,,,,,,,,,,
21-Feb-2025,Friday,,,SSSI A,SSSI B,SSSI A,SSSI B,,,,,,,,,,,,
22-Feb-2025,Saturday,Successive,Dhurandar XI,Titans United ,Gedu Titans,Semicon A,Semicon B,Phoenix,Challengers,Indian Warrior,Mosh Army,Full Track AI A,Full Track AI B,Full Track AI A,Full Track AI B,Yuva Yoddha,Vishu Team,,
23-Feb-2025,Sunday,MOT,Giju XI,Abhishek tennis A,Abhishek tennis B,,,Delhi Dominatrix,The Eleven Fighting,Kings CC,The Cricketing Titans,Ground Booked for time slot 02:00 to 06:00 PM,,,,,,,
24-Feb-2025,Monday,,,,,,,,,,,,,,,,,,
25-Feb-2025,Tuesday,,,,,,,,,,,,,,,,,,
26-Feb-2025,Wednesday,,,,,,,,,,,,,,,,,,
27-Feb-2025,Thursday,,,,,,,,,,,,,,,,,,
